[2025-10-23T12:08:36.176Z] [ERROR] Request failed: GET /api/auth/me {"requestId":"xpe0pns6k","method":"GET","endpoint":"/api/auth/me","statusCode":401,"responseTime":26}
[2025-10-23T12:08:39.588Z] [ERROR] Request failed: POST /api/auth/send-verification-email {"requestId":"esyueqbmc","method":"POST","endpoint":"/api/auth/send-verification-email","statusCode":401,"responseTime":40}
[2025-10-23T12:08:39.624Z] [ERROR] Request failed: POST /api/auth/verify-email {"requestId":"4b7eb7lks","method":"POST","endpoint":"/api/auth/verify-email","statusCode":401,"responseTime":9}
[2025-10-23T12:10:08.654Z] [ERROR] Request failed: POST /api/auth/send-verification-email {"requestId":"akzjtcpbr","method":"POST","endpoint":"/api/auth/send-verification-email","statusCode":401,"responseTime":8}
[2025-10-23T12:10:08.668Z] [ERROR] Request failed: POST /api/auth/verify-email {"requestId":"u0b3w122b","method":"POST","endpoint":"/api/auth/verify-email","statusCode":401,"responseTime":5}
[2025-10-23T12:10:15.837Z] [ERROR] Request failed: PUT /api/auth/preferences {"requestId":"v5edloso2","method":"PUT","endpoint":"/api/auth/preferences","statusCode":500,"responseTime":22}
[2025-10-23T12:10:16.645Z] [ERROR] Request failed: PUT /api/auth/preferences {"requestId":"fury8s246","method":"PUT","endpoint":"/api/auth/preferences","statusCode":500,"responseTime":14}
[2025-10-23T12:10:28.252Z] [ERROR] Request failed: PUT /api/auth/preferences {"requestId":"unpqprkts","method":"PUT","endpoint":"/api/auth/preferences","statusCode":500,"responseTime":10}
[2025-10-23T12:10:42.425Z] [ERROR] Request failed: POST /google {"requestId":"t2wj54aq5","method":"POST","endpoint":"/google","statusCode":500,"responseTime":2162}
[2025-10-23T12:10:58.581Z] [ERROR] Request failed: POST /api/auth/send-verification-email {"requestId":"zx4s704x3","method":"POST","endpoint":"/api/auth/send-verification-email","statusCode":401,"responseTime":4}
[2025-10-23T12:10:58.594Z] [ERROR] Request failed: POST /api/auth/verify-email {"requestId":"r0ompyijl","method":"POST","endpoint":"/api/auth/verify-email","statusCode":401,"responseTime":6}
[2025-10-23T12:10:58.601Z] [ERROR] Request failed: POST /google {"requestId":"qo4sk0s61","method":"POST","endpoint":"/google","statusCode":500,"responseTime":4}
[2025-10-23T12:11:12.997Z] [ERROR] Request failed: POST /api/auth/send-verification-email {"requestId":"j7i2c5jm0","method":"POST","endpoint":"/api/auth/send-verification-email","statusCode":401,"responseTime":7}
[2025-10-23T12:11:13.011Z] [ERROR] Request failed: POST /api/auth/verify-email {"requestId":"qfwpuidd2","method":"POST","endpoint":"/api/auth/verify-email","statusCode":401,"responseTime":5}
[2025-10-23T12:11:13.020Z] [ERROR] Request failed: POST /google {"requestId":"r5e7vlnkl","method":"POST","endpoint":"/google","statusCode":500,"responseTime":5}
[2025-10-23T12:48:22.794Z] [ERROR] Request failed: POST /api/auth/send-verification-email {"requestId":"ms78m834i","method":"POST","endpoint":"/api/auth/send-verification-email","statusCode":401,"responseTime":37}
